Date,CEU3100000016
2006-03-01,101.50
2006-04-01,100.70
2006-05-01,102.60
2006-06-01,103.80
2006-07-01,102.10
2006-08-01,103.20
2006-09-01,102.60
2006-10-01,102.40
2006-11-01,101.30
2006-12-01,102.40
2007-01-01,99.20
2007-02-01,98.70
2007-03-01,100.00
2007-04-01,100.30
2007-05-01,100.30
2007-06-01,101.50
2007-07-01,99.70
2007-08-01,100.60
2007-09-01,100.70
2007-10-01,99.20
2007-11-01,99.50
2007-12-01,100.40
2008-01-01,97.30
2008-02-01,96.80
2008-03-01,98.10
2008-04-01,96.90
2008-05-01,96.70
2008-06-01,98.10
2008-07-01,95.10
2008-08-01,96.30
2008-09-01,95.00
2008-10-01,93.70
2008-11-01,92.40
2008-12-01,90.50
2009-01-01,85.00
2009-02-01,83.50
2009-03-01,81.90
2009-04-01,79.80
2009-05-01,79.10
2009-06-01,79.20
2009-07-01,78.10
2009-08-01,79.50
2009-09-01,78.60
2009-10-01,78.80
2009-11-01,79.70
2009-12-01,79.60
2010-01-01,78.00
2010-02-01,77.10
2010-03-01,78.80
2010-04-01,79.70
2010-05-01,80.90
2010-06-01,81.30
2010-07-01,80.60
2010-08-01,81.90
2010-09-01,80.90
2010-10-01,81.90
2010-11-01,82.40
2010-12-01,82.40
2011-01-01,81.00
2011-02-01,81.40
2011-03-01,82.40
2011-04-01,82.70
2011-05-01,83.50
2011-06-01,84.10
2011-07-01,83.20
2011-08-01,84.60
2011-09-01,84.50
2011-10-01,85.20
2011-11-01,84.90
2011-12-01,85.80
2012-01-01,84.80
2012-02-01,85.10
2012-03-01,85.60
2012-04-01,86.30
2012-05-01,86.30
2012-06-01,87.20
2012-07-01,86.50
2012-08-01,86.50
2012-09-01,86.80
2012-10-01,86.10
2012-11-01,86.30
2012-12-01,87.90
2013-01-01,85.60
2013-02-01,86.30
2013-03-01,86.90
2013-04-01,86.90
2013-05-01,86.80
2013-06-01,88.50
2013-07-01,86.40
2013-08-01,88.20
2013-09-01,88.50
2013-10-01,88.30
2013-11-01,88.90
2013-12-01,89.80
2014-01-01,86.80
2014-02-01,87.30
2014-03-01,88.80
2014-04-01,88.50
2014-05-01,89.40
2014-06-01,90.90
2014-07-01,89.00
2014-08-01,90.40
2014-09-01,90.40
2014-10-01,90.30
2014-11-01,91.40
2014-12-01,91.50
2015-01-01,89.40
2015-02-01,89.30
2015-03-01,90.00
2015-04-01,89.70
2015-05-01,90.00
2015-06-01,90.80
2015-07-01,89.60
2015-08-01,90.80
2015-09-01,88.90
2015-10-01,89.90
2015-11-01,90.60
2015-12-01,90.90
2016-01-01,89.10
2016-02-01,88.80
2016-03-01,89.20
2016-04-01,89.30
2016-05-01,89.60
2016-06-01,90.00
2016-07-01,89.20
2016-08-01,89.40
2016-09-01,89.30
2016-10-01,89.60
2016-11-01,89.30
2016-12-01,89.90
2017-01-01,88.70
2017-02-01,88.50
2017-03-01,88.90
2017-04-01,88.30
2017-05-01,89.70
2017-06-01,90.70
2017-07-01,89.60
2017-08-01,90.50
2017-09-01,90.20
2017-10-01,91.20
2017-11-01,91.30
2017-12-01,92.10
2018-01-01,89.80
2018-02-01,91.10
2018-03-01,91.50
2018-04-01,92.40
2018-05-01,91.80
