Date,IZ3322
2005-12-01,100.00
2006-01-01,101.60
2006-02-01,101.90
2006-03-01,101.80
2006-04-01,101.90
2006-05-01,102.00
2006-06-01,102.30
2006-07-01,101.50
2006-08-01,101.70
2006-09-01,101.90
2006-10-01,102.00
2006-11-01,102.00
2006-12-01,102.20
2007-01-01,100.90
2007-02-01,100.90
2007-03-01,101.10
2007-04-01,101.10
2007-05-01,101.20
2007-06-01,101.30
2007-07-01,101.30
2007-08-01,101.60
2007-09-01,101.70
2007-10-01,102.00
2007-11-01,102.80
2007-12-01,103.00
2008-01-01,104.90
2008-02-01,105.50
2008-03-01,105.80
2008-04-01,106.70
2008-05-01,106.80
2008-06-01,106.60
2008-07-01,107.70
2008-08-01,108.10
2008-09-01,108.20
2008-10-01,108.80
2008-11-01,108.60
2008-12-01,107.90
2009-01-01,109.40
2009-02-01,109.00
2009-03-01,108.70
2009-04-01,108.30
2009-05-01,108.40
2009-06-01,108.30
2009-07-01,107.90
2009-08-01,107.60
2009-09-01,107.40
2009-10-01,108.30
2009-11-01,108.40
2009-12-01,109.10
2010-01-01,109.80
2010-02-01,109.70
2010-03-01,109.50
2010-04-01,110.00
2010-05-01,109.90
2010-06-01,109.80
2010-07-01,110.00
2010-08-01,110.30
2010-09-01,110.50
2010-10-01,111.10
2010-11-01,111.40
2010-12-01,111.60
2011-01-01,112.30
2011-02-01,112.40
2011-03-01,112.80
2011-04-01,113.10
2011-05-01,113.60
2011-06-01,114.70
2011-07-01,115.00
2011-08-01,115.10
2011-09-01,115.60
2011-10-01,115.20
2011-11-01,115.20
2011-12-01,115.40
2012-01-01,115.80
2012-02-01,116.10
2012-03-01,116.70
2012-04-01,116.60
2012-05-01,117.00
2012-06-01,116.70
2012-07-01,116.70
2012-08-01,116.80
2012-09-01,117.10
2012-10-01,116.60
2012-11-01,116.60
2012-12-01,116.60
2013-01-01,117.00
2013-02-01,116.80
2013-03-01,117.40
2013-04-01,116.80
2013-05-01,116.70
2013-06-01,116.80
2013-07-01,116.20
2013-08-01,116.30
2013-09-01,116.30
2013-10-01,116.30
2013-11-01,116.40
2013-12-01,116.40
2014-01-01,116.60
2014-02-01,116.60
2014-03-01,116.30
2014-04-01,116.80
2014-05-01,116.80
2014-06-01,116.90
2014-07-01,117.20
2014-08-01,117.20
2014-09-01,117.10
2014-10-01,117.20
2014-11-01,117.20
2014-12-01,117.20
2015-01-01,117.50
2015-02-01,117.30
2015-03-01,117.30
2015-04-01,117.40
2015-05-01,117.40
2015-06-01,117.50
2015-07-01,117.10
2015-08-01,117.00
2015-09-01,116.40
2015-10-01,116.00
2015-11-01,115.40
2015-12-01,115.10
2016-01-01,115.10
2016-02-01,115.20
2016-03-01,115.30
2016-04-01,115.10
2016-05-01,114.90
2016-06-01,114.70
2016-07-01,114.70
2016-08-01,115.00
2016-09-01,115.10
2016-10-01,114.90
2016-11-01,114.70
2016-12-01,114.50
2017-01-01,114.80
2017-02-01,115.00
2017-03-01,115.20
2017-04-01,115.10
2017-05-01,115.10
2017-06-01,115.30
2017-07-01,115.00
2017-08-01,115.20
2017-09-01,115.20
2017-10-01,115.30
2017-11-01,115.30
2017-12-01,115.30
2018-01-01,115.80
2018-02-01,116.10
2018-03-01,116.40
2018-04-01,116.50
2018-05-01,117.20
