Date,IPB50001N
1919-01-01,4.93
1919-02-01,4.73
1919-03-01,4.62
1919-04-01,4.71
1919-05-01,4.85
1919-06-01,5.15
1919-07-01,5.32
1919-08-01,5.43
1919-09-01,5.45
1919-10-01,5.43
1919-11-01,5.32
1919-12-01,4.96
1920-01-01,5.65
1920-02-01,5.68
1920-03-01,5.68
1920-04-01,5.32
1920-05-01,5.65
1920-06-01,5.65
1920-07-01,5.34
1920-08-01,5.45
1920-09-01,5.34
1920-10-01,5.21
1920-11-01,4.71
1920-12-01,4.13
1921-01-01,4.04
1921-02-01,3.99
1921-03-01,3.88
1921-04-01,3.90
1921-05-01,4.10
1921-06-01,4.04
1921-07-01,3.90
1921-08-01,4.10
1921-09-01,4.21
1921-10-01,4.49
1921-11-01,4.37
1921-12-01,4.01
1922-01-01,4.37
1922-02-01,4.68
1922-03-01,4.96
1922-04-01,4.73
1922-05-01,5.04
1922-06-01,5.29
1922-07-01,5.15
1922-08-01,5.07
1922-09-01,5.45
1922-10-01,5.87
1922-11-01,6.04
1922-12-01,5.81
1923-01-01,5.81
1923-02-01,6.01
1923-03-01,6.29
1923-04-01,6.40
1923-05-01,6.56
1923-06-01,6.48
1923-07-01,6.26
1923-08-01,6.29
1923-09-01,6.29
1923-10-01,6.29
1923-11-01,6.12
1923-12-01,5.65
1924-01-01,5.90
1924-02-01,6.15
1924-03-01,6.15
1924-04-01,5.93
1924-05-01,5.70
1924-06-01,5.43
1924-07-01,5.21
1924-08-01,5.54
1924-09-01,5.90
1924-10-01,6.04
1924-11-01,5.98
1924-12-01,5.81
1925-01-01,6.15
1925-02-01,6.29
1925-03-01,6.37
1925-04-01,6.40
1925-05-01,6.40
1925-06-01,6.29
1925-07-01,6.29
1925-08-01,6.40
1925-09-01,6.48
1925-10-01,6.70
1925-11-01,6.65
1925-12-01,6.37
1926-01-01,6.40
1926-02-01,6.62
1926-03-01,6.76
1926-04-01,6.73
1926-05-01,6.73
1926-06-01,6.73
1926-07-01,6.62
1926-08-01,6.95
1926-09-01,7.20
1926-10-01,7.20
1926-11-01,6.95
1926-12-01,6.51
1927-01-01,6.62
1927-02-01,6.95
1927-03-01,7.09
1927-04-01,6.95
1927-05-01,6.98
1927-06-01,6.92
1927-07-01,6.62
1927-08-01,6.84
1927-09-01,6.92
1927-10-01,6.81
1927-11-01,6.51
1927-12-01,6.17
1928-01-01,6.45
1928-02-01,6.76
1928-03-01,6.92
1928-04-01,6.92
1928-05-01,6.98
1928-06-01,6.98
1928-07-01,6.87
1928-08-01,7.23
1928-09-01,7.50
1928-10-01,7.64
1928-11-01,7.39
1928-12-01,6.98
1929-01-01,7.39
1929-02-01,7.70
1929-03-01,7.81
1929-04-01,8.03
1929-05-01,8.22
1929-06-01,8.14
1929-07-01,7.97
1929-08-01,8.11
1929-09-01,8.28
1929-10-01,8.14
1929-11-01,7.39
1929-12-01,6.65
1930-01-01,6.84
1930-02-01,7.09
1930-03-01,7.03
1930-04-01,7.12
1930-05-01,7.09
1930-06-01,6.81
1930-07-01,6.29
1930-08-01,6.26
1930-09-01,6.37
1930-10-01,6.15
1930-11-01,5.70
1930-12-01,5.32
1931-01-01,5.34
1931-02-01,5.65
1931-03-01,5.79
1931-04-01,5.93
1931-05-01,5.87
1931-06-01,5.65
1931-07-01,5.43
1931-08-01,5.32
1931-09-01,5.29
1931-10-01,5.04
1931-11-01,4.79
1931-12-01,4.51
1932-01-01,4.49
1932-02-01,4.57
1932-03-01,4.46
1932-04-01,4.26
1932-05-01,4.13
1932-06-01,3.99
1932-07-01,3.74
1932-08-01,3.88
1932-09-01,4.35
1932-10-01,4.46
1932-11-01,4.26
1932-12-01,4.01
1933-01-01,4.01
1933-02-01,4.15
1933-03-01,3.88
1933-04-01,4.24
1933-05-01,4.96
1933-06-01,5.68
1933-07-01,6.04
1933-08-01,5.87
1933-09-01,5.76
1933-10-01,5.34
1933-11-01,4.93
1933-12-01,4.79
1934-01-01,4.96
1934-02-01,5.43
1934-03-01,5.70
1934-04-01,5.81
1934-05-01,5.90
1934-06-01,5.79
1934-07-01,5.26
1934-08-01,5.29
