Date,JTS7100QUL
2000-12-01,40000.00
2001-01-01,38000.00
2001-02-01,53000.00
2001-03-01,54000.00
2001-04-01,69000.00
2001-05-01,69000.00
2001-06-01,60000.00
2001-07-01,59000.00
2001-08-01,64000.00
2001-09-01,61000.00
2001-10-01,62000.00
2001-11-01,64000.00
2001-12-01,63000.00
2002-01-01,74000.00
2002-02-01,74000.00
2002-03-01,66000.00
2002-04-01,62000.00
2002-05-01,71000.00
2002-06-01,57000.00
2002-07-01,56000.00
2002-08-01,47000.00
2002-09-01,52000.00
2002-10-01,48000.00
2002-11-01,35000.00
2002-12-01,52000.00
2003-01-01,44000.00
2003-02-01,46000.00
2003-03-01,46000.00
2003-04-01,42000.00
2003-05-01,39000.00
2003-06-01,51000.00
2003-07-01,38000.00
2003-08-01,57000.00
2003-09-01,52000.00
2003-10-01,54000.00
2003-11-01,63000.00
2003-12-01,35000.00
2004-01-01,37000.00
2004-02-01,39000.00
2004-03-01,38000.00
2004-04-01,56000.00
2004-05-01,39000.00
2004-06-01,39000.00
2004-07-01,44000.00
2004-08-01,42000.00
2004-09-01,45000.00
2004-10-01,40000.00
2004-11-01,62000.00
2004-12-01,52000.00
2005-01-01,54000.00
2005-02-01,53000.00
2005-03-01,56000.00
2005-04-01,57000.00
2005-05-01,56000.00
2005-06-01,52000.00
2005-07-01,55000.00
2005-08-01,48000.00
2005-09-01,48000.00
2005-10-01,77000.00
2005-11-01,48000.00
2005-12-01,52000.00
2006-01-01,60000.00
2006-02-01,49000.00
2006-03-01,61000.00
2006-04-01,53000.00
2006-05-01,52000.00
2006-06-01,58000.00
2006-07-01,43000.00
2006-08-01,48000.00
2006-09-01,44000.00
2006-10-01,55000.00
2006-11-01,54000.00
2006-12-01,55000.00
2007-01-01,37000.00
2007-02-01,53000.00
2007-03-01,59000.00
2007-04-01,44000.00
2007-05-01,45000.00
2007-06-01,50000.00
2007-07-01,54000.00
2007-08-01,62000.00
2007-09-01,53000.00
2007-10-01,51000.00
2007-11-01,59000.00
2007-12-01,61000.00
2008-01-01,62000.00
2008-02-01,54000.00
2008-03-01,46000.00
2008-04-01,50000.00
2008-05-01,52000.00
2008-06-01,47000.00
2008-07-01,53000.00
2008-08-01,41000.00
2008-09-01,46000.00
2008-10-01,38000.00
2008-11-01,31000.00
2008-12-01,30000.00
2009-01-01,29000.00
2009-02-01,34000.00
2009-03-01,33000.00
2009-04-01,38000.00
2009-05-01,38000.00
2009-06-01,49000.00
2009-07-01,38000.00
2009-08-01,34000.00
2009-09-01,12000.00
2009-10-01,32000.00
2009-11-01,38000.00
2009-12-01,32000.00
2010-01-01,53000.00
2010-02-01,31000.00
2010-03-01,29000.00
2010-04-01,38000.00
2010-05-01,34000.00
2010-06-01,30000.00
2010-07-01,28000.00
2010-08-01,37000.00
2010-09-01,41000.00
2010-10-01,49000.00
2010-11-01,41000.00
2010-12-01,42000.00
2011-01-01,35000.00
2011-02-01,37000.00
2011-03-01,42000.00
2011-04-01,41000.00
2011-05-01,38000.00
2011-06-01,39000.00
2011-07-01,44000.00
2011-08-01,46000.00
2011-09-01,55000.00
2011-10-01,37000.00
2011-11-01,41000.00
2011-12-01,53000.00
2012-01-01,42000.00
2012-02-01,49000.00
2012-03-01,45000.00
2012-04-01,42000.00
2012-05-01,51000.00
2012-06-01,47000.00
2012-07-01,43000.00
2012-08-01,44000.00
2012-09-01,35000.00
2012-10-01,40000.00
2012-11-01,39000.00
2012-12-01,39000.00
2013-01-01,47000.00
2013-02-01,55000.00
2013-03-01,55000.00
2013-04-01,46000.00
2013-05-01,47000.00
2013-06-01,48000.00
2013-07-01,50000.00
2013-08-01,43000.00
2013-09-01,45000.00
2013-10-01,45000.00
2013-11-01,56000.00
2013-12-01,51000.00
2014-01-01,52000.00
2014-02-01,42000.00
2014-03-01,52000.00
2014-04-01,50000.00
2014-05-01,47000.00
2014-06-01,52000.00
2014-07-01,50000.00
2014-08-01,52000.00
2014-09-01,58000.00
2014-10-01,59000.00
2014-11-01,54000.00
2014-12-01,50000.00
2015-01-01,55000.00
2015-02-01,49000.00
2015-03-01,46000.00
2015-04-01,51000.00
2015-05-01,53000.00
2015-06-01,59000.00
2015-07-01,55000.00
2015-08-01,63000.00
2015-09-01,54000.00
2015-10-01,56000.00
2015-11-01,51000.00
2015-12-01,54000.00
2016-01-01,56000.00
2016-02-01,70000.00
2016-03-01,58000.00
2016-04-01,64000.00
2016-05-01,68000.00
2016-06-01,65000.00
2016-07-01,71000.00
2016-08-01,72000.00
2016-09-01,80000.00
2016-10-01,75000.00
2016-11-01,83000.00
2016-12-01,84000.00
2017-01-01,63000.00
2017-02-01,73000.00
2017-03-01,83000.00
2017-04-01,86000.00
2017-05-01,58000.00
2017-06-01,66000.00
2017-07-01,64000.00
2017-08-01,61000.00
2017-09-01,52000.00
2017-10-01,63000.00
2017-11-01,64000.00
2017-12-01,64000.00
2018-01-01,79000.00
2018-02-01,67000.00
2018-03-01,92000.00
2018-04-01,67000.00
