Date,IY334
2005-12-01,100.00
2006-01-01,100.00
2006-02-01,99.40
2006-03-01,99.40
2006-04-01,99.10
2006-05-01,99.00
2006-06-01,98.80
2006-07-01,98.30
2006-08-01,97.80
2006-09-01,98.00
2006-10-01,97.80
2006-11-01,97.50
2006-12-01,97.30
2007-01-01,96.90
2007-02-01,96.70
2007-03-01,96.60
2007-04-01,96.40
2007-05-01,96.50
2007-06-01,96.50
2007-07-01,96.30
2007-08-01,96.10
2007-09-01,96.10
2007-10-01,96.10
2007-11-01,96.20
2007-12-01,96.40
2008-01-01,96.20
2008-02-01,96.20
2008-03-01,95.70
2008-04-01,95.60
2008-05-01,95.40
2008-06-01,95.80
2008-07-01,95.00
2008-08-01,94.60
2008-09-01,94.30
2008-10-01,93.40
2008-11-01,93.10
2008-12-01,92.90
2009-01-01,92.80
2009-02-01,93.30
2009-03-01,93.10
2009-04-01,93.60
2009-05-01,93.70
2009-06-01,93.70
2009-07-01,93.50
2009-08-01,93.70
2009-09-01,94.00
2009-10-01,93.20
2009-11-01,93.40
2009-12-01,93.00
2010-01-01,92.60
2010-02-01,92.30
2010-03-01,92.50
2010-04-01,92.90
2010-05-01,92.50
2010-06-01,91.80
2010-07-01,91.60
2010-08-01,91.40
2010-09-01,91.50
2010-10-01,91.10
2010-11-01,91.20
2010-12-01,91.50
2011-01-01,91.20
2011-02-01,90.70
2011-03-01,90.30
2011-04-01,89.90
2011-05-01,89.70
2011-06-01,89.60
2011-07-01,89.60
2011-08-01,89.60
2011-09-01,89.50
2011-10-01,89.70
2011-11-01,89.50
2011-12-01,89.60
2012-01-01,90.60
2012-02-01,90.50
2012-03-01,90.50
2012-04-01,90.20
2012-05-01,90.20
2012-06-01,89.80
2012-07-01,89.50
2012-08-01,89.20
2012-09-01,89.00
2012-10-01,89.10
2012-11-01,89.20
2012-12-01,89.00
2013-01-01,89.20
2013-02-01,89.30
2013-03-01,89.20
2013-04-01,88.80
2013-05-01,88.60
2013-06-01,88.70
2013-07-01,88.80
2013-08-01,88.60
2013-09-01,88.40
2013-10-01,88.00
2013-11-01,88.20
2013-12-01,88.00
2014-01-01,87.90
2014-02-01,87.80
2014-03-01,87.90
2014-04-01,87.90
2014-05-01,88.00
2014-06-01,88.00
2014-07-01,87.50
2014-08-01,87.60
2014-09-01,87.40
2014-10-01,87.00
2014-11-01,86.80
2014-12-01,86.90
2015-01-01,86.90
2015-02-01,86.90
2015-03-01,86.70
2015-04-01,86.10
2015-05-01,85.80
2015-06-01,85.80
2015-07-01,85.70
2015-08-01,85.40
2015-09-01,85.40
2015-10-01,85.20
2015-11-01,85.00
2015-12-01,84.70
2016-01-01,84.30
2016-02-01,84.10
2016-03-01,83.90
2016-04-01,83.90
2016-05-01,83.80
2016-06-01,83.70
2016-07-01,83.50
2016-08-01,83.30
2016-09-01,83.20
2016-10-01,82.80
2016-11-01,82.90
2016-12-01,82.90
2017-01-01,82.60
2017-02-01,82.50
2017-03-01,82.50
2017-04-01,82.60
2017-05-01,82.70
2017-06-01,82.70
2017-07-01,82.80
2017-08-01,82.80
2017-09-01,82.70
2017-10-01,83.40
2017-11-01,83.30
2017-12-01,83.30
2018-01-01,83.50
2018-02-01,83.30
2018-03-01,83.20
2018-04-01,83.40
2018-05-01,83.50
