Date,JTS6000TSL
2000-12-01,481000.00
2001-01-01,456000.00
2001-02-01,472000.00
2001-03-01,470000.00
2001-04-01,462000.00
2001-05-01,433000.00
2001-06-01,474000.00
2001-07-01,468000.00
2001-08-01,450000.00
2001-09-01,450000.00
2001-10-01,499000.00
2001-11-01,453000.00
2001-12-01,423000.00
2002-01-01,473000.00
2002-02-01,427000.00
2002-03-01,423000.00
2002-04-01,458000.00
2002-05-01,433000.00
2002-06-01,416000.00
2002-07-01,469000.00
2002-08-01,436000.00
2002-09-01,432000.00
2002-10-01,438000.00
2002-11-01,395000.00
2002-12-01,460000.00
2003-01-01,462000.00
2003-02-01,416000.00
2003-03-01,419000.00
2003-04-01,414000.00
2003-05-01,448000.00
2003-06-01,470000.00
2003-07-01,455000.00
2003-08-01,443000.00
2003-09-01,468000.00
2003-10-01,454000.00
2003-11-01,423000.00
2003-12-01,420000.00
2004-01-01,453000.00
2004-02-01,456000.00
2004-03-01,430000.00
2004-04-01,443000.00
2004-05-01,444000.00
2004-06-01,437000.00
2004-07-01,434000.00
2004-08-01,456000.00
2004-09-01,473000.00
2004-10-01,400000.00
2004-11-01,470000.00
2004-12-01,461000.00
2005-01-01,469000.00
2005-02-01,480000.00
2005-03-01,495000.00
2005-04-01,486000.00
2005-05-01,474000.00
2005-06-01,465000.00
2005-07-01,446000.00
2005-08-01,488000.00
2005-09-01,490000.00
2005-10-01,470000.00
2005-11-01,461000.00
2005-12-01,478000.00
2006-01-01,449000.00
2006-02-01,438000.00
2006-03-01,450000.00
2006-04-01,488000.00
2006-05-01,576000.00
2006-06-01,515000.00
2006-07-01,526000.00
2006-08-01,486000.00
2006-09-01,450000.00
2006-10-01,494000.00
2006-11-01,477000.00
2006-12-01,500000.00
2007-01-01,516000.00
2007-02-01,483000.00
2007-03-01,489000.00
2007-04-01,484000.00
2007-05-01,519000.00
2007-06-01,510000.00
2007-07-01,489000.00
2007-08-01,501000.00
2007-09-01,462000.00
2007-10-01,494000.00
2007-11-01,527000.00
2007-12-01,459000.00
2008-01-01,522000.00
2008-02-01,530000.00
2008-03-01,512000.00
2008-04-01,519000.00
2008-05-01,513000.00
2008-06-01,476000.00
2008-07-01,485000.00
2008-08-01,501000.00
2008-09-01,466000.00
2008-10-01,513000.00
2008-11-01,451000.00
2008-12-01,470000.00
2009-01-01,504000.00
2009-02-01,500000.00
2009-03-01,469000.00
2009-04-01,468000.00
2009-05-01,403000.00
2009-06-01,489000.00
2009-07-01,494000.00
2009-08-01,504000.00
2009-09-01,484000.00
2009-10-01,452000.00
2009-11-01,454000.00
2009-12-01,468000.00
2010-01-01,450000.00
2010-02-01,449000.00
2010-03-01,445000.00
2010-04-01,466000.00
2010-05-01,422000.00
2010-06-01,506000.00
2010-07-01,501000.00
2010-08-01,441000.00
2010-09-01,495000.00
2010-10-01,420000.00
2010-11-01,468000.00
2010-12-01,470000.00
2011-01-01,451000.00
2011-02-01,462000.00
2011-03-01,436000.00
2011-04-01,427000.00
2011-05-01,442000.00
2011-06-01,500000.00
2011-07-01,446000.00
2011-08-01,478000.00
2011-09-01,419000.00
2011-10-01,446000.00
2011-11-01,466000.00
2011-12-01,463000.00
2012-01-01,509000.00
2012-02-01,483000.00
2012-03-01,466000.00
2012-04-01,481000.00
2012-05-01,494000.00
2012-06-01,543000.00
2012-07-01,461000.00
2012-08-01,495000.00
2012-09-01,437000.00
2012-10-01,483000.00
2012-11-01,470000.00
2012-12-01,478000.00
2013-01-01,531000.00
2013-02-01,523000.00
2013-03-01,477000.00
2013-04-01,516000.00
2013-05-01,539000.00
2013-06-01,504000.00
2013-07-01,527000.00
2013-08-01,530000.00
2013-09-01,537000.00
2013-10-01,490000.00
2013-11-01,483000.00
2013-12-01,519000.00
2014-01-01,562000.00
2014-02-01,507000.00
2014-03-01,522000.00
2014-04-01,564000.00
2014-05-01,484000.00
2014-06-01,528000.00
2014-07-01,526000.00
2014-08-01,490000.00
2014-09-01,587000.00
2014-10-01,564000.00
2014-11-01,511000.00
2014-12-01,537000.00
2015-01-01,536000.00
2015-02-01,554000.00
2015-03-01,535000.00
2015-04-01,537000.00
2015-05-01,560000.00
2015-06-01,568000.00
2015-07-01,571000.00
2015-08-01,581000.00
2015-09-01,575000.00
2015-10-01,575000.00
2015-11-01,610000.00
2015-12-01,595000.00
2016-01-01,583000.00
2016-02-01,577000.00
2016-03-01,574000.00
2016-04-01,578000.00
2016-05-01,597000.00
2016-06-01,618000.00
2016-07-01,594000.00
2016-08-01,599000.00
2016-09-01,564000.00
2016-10-01,591000.00
2016-11-01,604000.00
2016-12-01,591000.00
2017-01-01,628000.00
2017-02-01,556000.00
2017-03-01,624000.00
2017-04-01,616000.00
2017-05-01,629000.00
2017-06-01,624000.00
2017-07-01,619000.00
2017-08-01,644000.00
2017-09-01,607000.00
2017-10-01,669000.00
2017-11-01,637000.00
2017-12-01,626000.00
2018-01-01,656000.00
2018-02-01,644000.00
2018-03-01,615000.00
2018-04-01,634000.00
