3UIS	Nx09100w 190601
H22	Hong Leong Asia Ltd.
H27	Hlh Group Limited
H30	Hong Fok Corporation Ltd
H64	Htl Int'l Holdings Limited
H73	Hupsteel Ltd
H78	Hongkong Land Holdings Limited
HD6	Dbxt S&p 500 Short Etf 10
HD7	Dbxt Msci Taiwan Etf 10
HD8	Dbxt Ft China 25 Etf 10
HD9	Dbxt Ftse Vietnam Etf 10
HE0	Dbxt S&p Cnx Nifty Etf 10
i03	Informatics Education Ltd.
i04	Xpress Holdings Ltd
i06	Intraco Limited
i07	Isdn Holdings Limited
i11	Ipco Int'l Limited
i15	Isetan (singapore) Ltd
I17	Ishares S&p500 Ivv 10
I19	Ishares Msci Singapore Ews 100
I21	Ishares Dj Us Tech Iyw 10
i26	Inno-pacific Holdings Ltd
i49	Ifs Capital Limited
I5H	Great Group Holdings Limited
I85	Hengxin Technology Ltd.
I98	Is Msci India 100
I9T	Ziwo Holdings Ltd.
IH0	Dbxt Euro Stoxx 50 Etf 10
IH1	Dbxt Msci Asia Ex Japan Etf 10
IH2	Dbxt Msci Korea Etf 10
IH3	Dbxt Msci Europe Etf 10
IH4	Dbxt Usd Money Market Etf 5
IW5	Seroja Investments Limited
IX2	Pec Ltd.
J03	Jadason Enterprises Ltd
J0M	Dbxt Msci Emerging Mkts Etf 10
J0N	Dbxt Msci Emg Mkts Asia Etf 10
J0O	Dbxt Msci Brazil Trn Etf 10
J0P	Dbxt Msci World Trn Etf 10
J0Q	Dbxt Msci Pacific Exjap Etf 10
J0R	Dbxt Msci Russia Cap 25 Etf 10
J0S	Dbxt Dblci-oy Balanced Etf 5
J10	Jaya Holdings Ltd
J17	Jackspeed Corporation Limited
J18	China Jishan Holdings Limited
J2T	Hock Lian Seng Holdings Ltd
J36	Jardine Matheson Hldgs Ltd
J37	Jardine Strategic Hldgs Ltd
J69U	Frasers Centrepoint Trust
J7X	Tiger Airways Holdings Limited
J85	Cdl Hospitality Trusts
J91U	Cambridge Industrial Trust
JA9	Changjiang Fertilizer Hlgs Ltd
JC5	Lyxor Etf Msci Europe 10
JC6	Lyxor Etf Dow Jones Ia 10
JC7	Lyxor Etf Russia 10
JK8	United Sse 50 China Etf
k01	K1 Ventures Limited
K03	Khong Guan Flour Milling Ltd
K11	Keppel Tele & Tran
K14	Kingboard Copper Foil Hdgs Ltd
K1Q	Ttj Holdings Limited
K22	Kian Ho Bearings Ltd
K29	Karin Technology Hldgs Limited
K2LU	Cache Logistics Trust
K2M	Debao Property Development Ltd
K2N	China Minzhong Food Corp Ltd
K3CD	China Eastern Air Adr 10
K3DD	Sinopec Petrochemical Adr 10
K3ED	China Telecom Adr 10
K3FD	Huaneng Power Intl Adr 10
K3GD	Yanzhou Coal Mining Adr 10
K3HD	Aluminum Corp Of China Adr 10
K3ID	China Unicom Hk Ltd Adr 10
K3JD	Changyou.com Adr 10
K3KD	Trina Solar Adr 10
K3MD	Netease.com Adr 10
K3OD	Petrochina Adr 10
K3PD	Chinamobile Adr 10
K3QD	Mindray Medical Intl Adr 10
K3RD	Ctrip.com International Adr 10
K3SD	Baidu.com Adr 10
K3TD	China Southern Air Adr 10
K3UD	Home Inns & Hotels Adr 10
K6J	Global Palm Resources Hlgs Ltd
K6K	Dbxt S&p500 Etf 10
K6S	Prudential Plc
K6Y	Dbxt Aud Ssa Bonds Etf 5
K71U	K-reit Asia
K75	Koh Brothers Group Limited
KF4	Sin Heng Heavy Machinery Ltd
KF5	Dbxt Usd Ig Infl Treas Etf 5
KF6	Dbxt Iboxx Sov Euro Etf 5
KF7	Dbxt Iboxx Us Treas Etf 5
KF8	Dbxt Msci Usa Etf 10
KI3	Hu An Cable Holdings Ltd.
KJ5	Bbr Holdings (s) Ltd
KJ6	Dbxt Sora Etf 5
KJ7	Dbxt Msci Indonesia Etf 10
KJ9	Cogent Holdings Limited
KT2	Dbxt Iboxx Korea Etf 5
KT3	Dbxt Stoxx Glob Div 100 Etf 10
KT4	Dbxt Csi300 Etf 10
KT9	Qingmei Group Holdings Limited
KV4	Dbxt Iboxx Singapore Etf 5
KV5	Dbxt Aud Money Market Etf 5
KV6	Dbxt Aud Mm Etf Usd 5
KV7	Dbxt Aud Mm Etf Sgd 5
KV8	Dbxt Eonia Tr Etf Usd 5
L02	Manhattan Resources Limited
L03	Lian Beng Group Ltd
L07Z	Lta $500m4.17%n160510
L09	Lung Kee (bermuda) Hldgs Ltd
L17	Lion Teck Chiang Ltd
L19	Lum Chang Holdings Limited
L20	Lifebrandz Ltd.
L22	Lankom Electronics Limited
L23	Enviro-hub Holdings Ltd
L28	Longcheer Holdings Limited
L34	Luxking Group Holdings Limited
L38	L.c.development Ltd
L46	Luzhou Bio-chem Technology Ltd
L5F	Dbxt Dbcbdjubsci Etf 10
L5G	Dbxt Dbcbleb Etf 10
L5I	Abterra Ltd
L6T	Psl Holdings Ltd
LF1	Dbxt S&p/asx 200 Etf 10
LF2	Dbxt Msci Japan Trn Etf 10
LG6	Dbxt Msci Malaysia Trn Etf 10
LG7	Dbxt Msci Thailand Trn Etf 10
LG8	Dbxt Msci India Trn Etf 10
LG9	Dbxt Msci China Trn Etf 10
LJ3	Overseas Union Enterprise Ltd
LS9	Leader Environmental Tech Ltd
M01	Metro Holdings Limited
M03	Miyoshi Precision Limited
M04	Mandarin Oriental Intl Ltd
M05	Mtq Corporation Limited
M11	Mfg Integration Technology Ltd
M14	Innotek Limited
M15	Matex International Limited
M1GU	Sabana Shari'ah Compliant Reit
M1P	Amtek Engineering Ltd
M1Z	Tee International Limited
M26	Memtech International Ltd
M30	Meghmani Organics Limited
M35	Wheelock Properties (s) Ltd
M41	Macquarie Int'l Infra Fund Ltd
M44U	Mapletree Logistics Trust
M62	Cimb Ftse Asean40 100
M9F	Xmh Holdings Ltd.
MA6Z	Sia $300m 2.15%b150930
MC0	Global Logistic Prop Limited
MC7	Yamada Green Resources Limited
ME8U	Mapletree Industrial Trust
MF5	Anchun International Hldgs Ltd
MF6	Mun Siong Engineering Limited
MN5	Xinren Aluminum Holdings Ltd
MQ4	Bund Center Investment Ltd
MR7	Nordic Group Limited
MR8	Novo Group Ltd.
MS7	Stx Osv Holdings Limited
MT1	Dragon Group Intl Limited
MT7	Lyxor Etf Asia Real Estate 10
MU7	Dbs S$800m 4.7% Ncps
MV1W	Sinarmas Land Limited Ew151118
MV4	Mewah International Inc.
N01	Neratelecommunications Ltd
N02	Nsl Ltd.
N03	Neptune Orient Lines Limited
N08	New Toyo Int Hldgs Ltd
N0L	Eastgate Technology Ltd
N0Z	Combine Will Intl Hldgs Ltd
N14	M Development Ltd.
N21	Noble Group Limited
N2E	Dbxt Msci Philippines Etf 10
N2F	Dbxt Msci Asia Exjap Hdy Etf10
N2H	Hyflux 6% Cum Pref Class A 10
N2IU	Mapletree Commercial Trust
N32	Nippecraft Limited
N33	Nomura Holdings Inc
N4E	Nam Cheong Limited
N5YD	Mufj Financial Adr 10
N6DD	Mizuho Financial Adr 10
N6ED	Ntt Docomo Adr 10
N6FD	Toyota Motor Adr 10
N6M	Ishares Usd Asia Bond Etf
NC2	Sri Trang Agro-industry Pcl
NC3W	Joyas International W160125
NC9	Malaysia Smelting Corp Bhd 100
ND8U	Frasers Commercial Trust
NF1	Sapphire Corporation Limited
NF4	Lyxor Etf Asia Technology 10
NF6	Lyxor Etf Asia Con Stap 10
NO4	Dyna-mac Holdings Ltd.
NR7	Raffles Education Corp Ltd
NS8U	Hutchison Port Holdings Trust
NT1	Hotung Investment Hldgs Ltd
O02	Ogl Resources Limited
O05	Ocean Sky International Ltd
O08	Ossia International Ltd
O10	Orchard Parade Holdings Ltd
O15	Ocbc Bk 4.2% Ncps
O23	Osim International Ltd
O2I	Avic Intl Investments Limited
O2R	Chinasing Investment Hldg Ltd
O32	Olam International Limited
O39	Oversea-chinese Banking Corp
O5RU	Aims Amp Cap Industrial Reit
O6Z	Lonza Group Ltd
O87	Spdr Gold Shares
O9A	Dbxt Msci Singapore Im Etf 10
O9B	Dbxt Msci Asiapac Exjap Etf 10
O9C	Dbxt Msci Bangladesh Im Etf 10
O9D	Dbxt Msci Pakistan Im Etf 10
O9E	Parkson Retail Asia Limited
O9P	Ishares Usd Asia Hy Bond Etf
OL9S	Nz10100f 300901
OM0S	Nx11100x 210601
OM1S	N511100w 160401
OM2S	N710100z 170401
OM5S	Ny03100a 180901
OM7S	Ny01100f 160901
ON7	Weiye Holdings Limited
OU8	Centurion Corporation Limited
OV8	Sheng Siong Group Ltd
P01	Poh Tiong Choon Logistics Ltd
P11	Pacific Andes Resources Devltd
P13	Penguin International Limited
P15	Pacific Century Regional Devts
P19	Pci Ltd
P2P	Lyxor Etf Thai Set 10
P2Q	Lyxor Etf Indonesia 10
P34	Petra Foods Limited
P36	Pan Hong Property Group Ltd
P40U	Starhill Global Reit
P47	Pacific Healthcare Hldgs Ltd
P52	Pan-united Corporation Ltd
P58	Lyxor China H 10
P5P	Cimb S&p Asia Pacific Dividend
P60	Lyxor Asia 10
P74	China Kangda Food Company Ltd
P7VU	Hutchison Port Hldgs Trust S$
P8A	Cordlife Group Limited
P8Z	Bumitama Agri Ltd.
P9D	Civmec Limited
P9GZ	Genting Sps$500m5.125% Perpsec
P9J	Global Premium Hotels Limited
P9KW	Psl Holdings W170422
PA3	Ta Corporation Ltd
PG7W	Eu Yan Sang Intl W161128
PH0	Vgo Corporation Limited
PH1S	Na12100n 420202
PU6D	Hsbc Adr 10
PW3Z	Capitamallastrs$400m3.8%220112
Q01	Qaf Ltd
Q0F	Ihh Healthcare Berhad
Q0X	Ultro Technologies Limited
Q1P	Ascendas Hospitality Trust
Q3JW	Second Chance Prop W170724
Q5T	Far East Hospitality Trust
Q7W	Lantrovision (s) Ltd
QC7	Q & M Dental Group (s) Limited
QF6	Swee Hong Limited
QG1	Metech International Limited
QK9	Is Msci India 100 S$
QL2	Ishares Usd Asia Bond Etf S$
QL3	Ishares Usd Asia Hy Bond Etfs$
QR9	Cimb S&p Asia Pac Dividend S$
QS0	Cimb Ft Asean 40 100 S$
QS9	Radiance Group Limited
R01	Raffles Medical Group Ltd
R07	Rotary Engineering Limited
R14	Ramba Energy Limited
R1LS	N513100t 180401
R1MS	Nx13100h 230701
R1NS	Nz13100v 330901
R5UW	Liongold Corp Ltd W151217
R5VW	Hai Leck Holdings W180105
R9IW	Olam International W180129
RC5	Triyards Holdings Limited
RE2	Courts Asia Limited
RE4	Geo Energy Resources Limited
RF1U	Religare Health Trust
RF7	Gaylin Holdings Limited
RQ1	Overseas Education Limited
RS1	China Environmental Res Gp Ltd
RW0U	Mapletree Greater Chinacomm Tr
S05	Sim Lian Group Limited
S07	Shangri-la Asia Limited
S08	Singapore Post Limited
S10	Super Group Ltd.
S19	Singapore Shipping Corp Ltd
S20	Straits Trading Co. Ltd
S21	Genting Hong Kong Limited
S23	Singapura Finance Ltd
S24	Stats Chippac Ltd
S27	Spdr S&p 500 Etf Trust
S29	Stamford Tyres Corporationltd
S2D	Tosei Corporation
S35	Sing Investments & Finance Ltd
S3N	Okh Global Ltd.
S3TB	Tiger Airways S$219.67m2%perpc
S41	Hong Leong Finance Limited
S44	Engro Corporation Limited
S45U	Singapore Index Fund
S46	San Teh Limited
S49	Singapore Reinsurance Cor Ltd
S51	Sembcorp Marine Ltd
S53	Smrt Corporation Ltd
S56	Samudera Shipping Line Ltd
S58	Sats Ltd.
S59	Sia Engineering Co Ltd
S61	Sbs Transit Ltd
S63	Singapore Tech Engineering Ltd
S68	Singapore Exchange Limited
S69	Serial System Ltd
S6NU	Croesus Retail Trust
S71	Sunright Ltd
S7OU	Asian Pay Television Trust
S7P	Soilbuild Construction Grp Ltd
S85	Straco Corporation Limited
S91	Chinavision Media Grp Limited
S9B	Tee Land Limited
SH8	Dbxt Iboxx Indonesia Etf 10
SK3	Krisenergy Ltd.
SK6U	Sph Reit
SK7	Oue Hospitality Trust
SO7	Yangzijiang Shipbldg Hldgs Rmb
SV3U	Soilbuild Business Space Reit
T03	Tat Hong Holdings Ltd
T06	Tiong Woon Corp Holding Ltd
T09	Tt International Limited
T12	Tat Seng Packaging Group Ltd
T13	Rh Petrogas Limited
T14	Tianjin Zhong Xin Pharm Group
T15	Tan Chong Int'l Ltd
T16	China Dairy Group Ltd
T18	Tpv Technology Limited
T19	Transview Holdings Limited
T24	Tuan Sing Holdings Limited
T35	Sunningdale Tech Ltd
T39	Singapore Press Hldgs Ltd
T41	Telechoice International Ltd
T42	China Auto Electronics Grp Ltd
T43	Techcomp (holdings) Limited
T4B	Sino Grandness Food Ind Gp Ltd
T4E	Compact Metal Industries Ltd
T55	Transpac Industrial Hldgs Ltd
T5MW	Rowsley Ltd W161003
T6I	Valuemax Group Limited
T77	Southern Packaging Group Ltd
T7UW	Centurion Corporation W171027
T82U	Suntec Real Estate Inv Trust
T8B	Viva Industrial Trust
T8FS	Ny14100e 290701
T8GS	N514100h 191001
T8JU	Saizen Real Estate Inv Trust
T8UW	Isdn Holdings Limited W181110
T8V	Pacific Radiance Ltd.
T8WW	Compact Metal Indus W161110
TA6W	Technics Oil & Gas W161209
TF0W	Grp Ltd W151127
TI6	Linc Energy Ltd
TJ1W	Falcon Energy Grp Ltd W160618
TQ5	Frasers Centrepoint Limited
TS0U	Oue Commercial Reit
TY6Z	Capitamalltrs$350m3.08%b210220
U04	United Engineers Ltd Ord
U05	United Engineers 7.5% Cum Pref
U06	United Industrial Corp Ltd
U09	Upp Holdings Limited
U10	Uob-kay Hian Holdings Limited
U11	United Overseas Bank Ltd
U13	United Overseas Insurance Ltd
U14	Uol Group Limited
U19	United Envirotech Ltd
U2KW	Chasen Holdings W170320
U3WW	Capitaland Mb Ecw160104
U3XW	Dbs Mb Ecw160104
U3YW	Kepcorp Mb Ecw160104
U3ZW	Ocbc Bk Mb Ecw160104
U4FW	Singtel Mb Ecw160104
U4GW	Uob Mb Ecw160104
U6C	Pacc Offshore Svcs Hldg Ltd.
U77	Sarin Technologies Ltd
U7NW	Hai Leck Holdings W190513
U96	Sembcorp Industries Ltd
U9E	Hankore Environment Tec Grpltd
U9LW	Tih Limited W170519
UC0W	Tee International W170526
UC9W	Ols Enterprise Ltd. W170825
UD1U	Ireit Global
UD2	Japfa Ltd.
UD3	Pteris Global Limited
UE3W	Mun Siong Engineering W170908
UK5W	Wilmar Mb Ecw151001
UM2W	Vard Holdings Mb Ecw151001
UQ4	Emas Offshore Limited
UQ7	Blue Sky Power Holdingslimited
UT2W	Globallogisticpropmbecw151001
UV1	Hisaka Holdings Ltd.
V01	Vicom Ltd
V03	Venture Corporation Limited
V69	Union Steel Holdings Limited
W05	Wing Tai Hldgs Ltd
X06	Sinopipe Holdings Limited
Y03	Yeo Hiap Seng Ltd
Y06	Youcan Foods International Ltd
Y08	Yhi International Limited
Y35	Sun East Group Limited
Y45	Singapore Windsor Holdings Ltd
Y92	Thai Beverage Public Co Ltd
Z01	Zagro Asia Limited
Z25	Yanlord Land Group Limited
Z59	Yoma Strategic Holdings Ltd
Z74	Singtel
Z77	Singtel 10
